iteration,prior mass,evidence
453,0.010780676072743084,5.989338919551142e-165
454,0.010673406553522925,7.097498396480867e-165
455,0.010567204383852655,8.573184848508895e-165
456,0.010462058943426803,1.0188024762258808e-164
457,0.010357959717613696,1.1804882657360041e-164
458,0.010254896296404022,1.3444007438985852e-164
459,0.010152858373369763,1.5074636114724443e-164
460,0.010051835744633586,1.6978578048294303e-164
461,0.00995181830784842,1.9075603707116026e-164
462,0.009852796061187257,2.1753119646369618e-164
463,0.009754759102342903,2.4542670871668817e-164
464,0.009657697627537777,2.7321656638554787e-164
465,0.009561601930543505,3.088294634707981e-164
466,0.009466462401710323,3.4507781625275612e-164
467,0.009372269527006058,3.982529712635359e-164
468,0.009279013887064744,4.52947303767732e-164
469,0.009186686156244664,5.162777933095263e-164
470,0.009095277101695816,6.0083888449476126e-164
471,0.00900477758243656,6.8531803400420065e-164
472,0.008915178548439553,7.70040596502594e-164
473,0.008826471039726723,8.569066687424956e-164
474,0.00873864618547329,9.49922819541298e-164
475,0.008651695203120634,1.0453654679377873e-163
476,0.00856560939749806,1.1430645081844891e-163
477,0.008480380159953269,1.2431558076908583e-163
478,0.00839599896749147,1.3452395321445047e-163
479,0.008312457381923119,1.4579393333997385e-163
480,0.00822974704902003,1.61969590601813e-163
481,0.008147859697679989,1.7865603313468737e-163
482,0.008066787139099614,1.967955593181959e-163
483,0.007986521265955502,2.1575291601344177e-163
484,0.007907054051593441,2.350991320657052e-163
485,0.007828377549225773,2.564774100687872e-163
486,0.007750483891136692,2.8499918424763376e-163
487,0.007673365287895489,3.163594903004859e-163
488,0.007597014027577567,3.493325768348276e-163
489,0.00752142247499327,3.888853667644862e-163
490,0.007446583070924338,4.288178392860565e-163
491,0.007372488331368012,4.7733651520490434e-163
492,0.007299130846788583,5.25496566475614e-163
493,0.0072265032813764625,5.771747795094894e-163
494,0.007154598372314579,6.372672601649339e-163
495,0.0070834089290521185,6.969543897705601e-163
496,0.007012927832585425,7.807339335733484e-163
497,0.0069431480347461145,8.808389751854662e-163
498,0.006874062557496248,9.8912466430682e-163
499,0.006805664492230543,1.0992075741433813e-162
500,0.006737946999085467,1.208351835322151e-162
501,0.006670903306255274,1.319486562915565e-162
502,0.006604526709314811,1.4380853713263191e-162
503,0.006538810570549064,1.5634568106096284e-162
504,0.006473748318289405,1.7073558798268173e-162
505,0.006409333446256383,1.8732691917759785e-162
506,0.006345559512909116,2.0444573955590587e-162
507,0.006282420140801118,2.218468586014173e-162
508,0.006219909015942573,2.3953812117466983e-162
509,0.006158019887168897,2.577858280144423e-162
510,0.006096746565515638,2.7697384945896063e-162
511,0.006036082923599565,2.9669716861640413e-162
512,0.005976022895005943,3.1670472909452824e-162
513,0.005916560473681857,3.411682544071864e-162
514,0.0058576897133356225,3.6743187981493803e-162
515,0.005799404726842141,3.9551406648450233e-162
516,0.005741699685654202,4.2596124529798836e-162
517,0.005684568819219595,4.605864881364082e-162
518,0.005628006414404065,4.978904030501456e-162
519,0.005572006814919993,5.362759998317646e-162
520,0.0055165644207607716,5.87463740935226e-162
521,0.005461673687640779,6.435923160679979e-162
522,0.00540732912644096,7.012200715793444e-162
523,0.005353525302659903,7.686770117529684e-162
524,0.005300256835870402,8.357332258905214e-162
525,0.005247518399181385,9.113480370556644e-162
526,0.005195304718705231,1.0008026939277171e-161
527,0.005143610573030383,1.09478222563697e-161
528,0.00509243079269919,1.206906286662273e-161
529,0.005041760259690979,1.3204389234404671e-161
530,0.004991593906910217,1.4622824537439426e-161
531,0.004941926717679822,1.6681839331172321e-161
532,0.004892753725239476,1.890227451185158e-161
533,0.004844070012248967,2.136564078660248e-161
534,0.004795870710296421,2.387771104991861e-161
535,0.004748150999411478,2.732515159784464e-161
536,0.004700906107583276,3.1037129644827672e-161
537,0.004654131310283272,3.547051674962625e-161
538,0.004607821929992752,3.9969603778553064e-161
539,0.004561973335735096,4.461717262924084e-161
540,0.004516580942612666,4.927290562641367e-161
541,0.004471640211348332,5.4353448754182446e-161
542,0.004427146647831511,5.945377547484778e-161
543,0.004383095802668776,6.479530246684662e-161
544,0.004339483270738895,7.044930146422785e-161
545,0.00429630469075234,7.608430041388626e-161
546,0.004253555744815125,8.194530251169333e-161
547,0.004211232157997035,8.833636142680127e-161
548,0.0041693296979041115,9.562947037094562e-161
549,0.004127844174255436,1.0302064972496384e-160
550,0.004086771438464067,1.1166749894027319e-160
551,0.004046107383222199,1.2024166045338414e-160
552,0.00400584794209042,1.2932802446197091e-160
553,0.003965989089091065,1.3940919312059753e-160
554,0.003926526838305624,1.494749279674378e-160
555,0.0038874572434761303,1.6106416946183e-160
556,0.003848776397610543,1.736227594685147e-160
557,0.003810480432592037,1.8812008326039464e-160
558,0.0037725655187922052,2.1030362012926668e-160
559,0.0037350278646880674,2.3282452094875605e-160
560,0.003697863716482932,2.5606574676681484e-160
561,0.0036610693577310053,2.8188197375214116e-160
562,0.0036246411089657558,3.1147707863012284e-160
563,0.0035885753273319477,3.4593272425390085e-160
